,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
0,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,57,0
1,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,33,0
2,JZI,Airlines,Online,Basic Plan,19,INDIA,22.0,7.7,26,0
3,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,UNITED STATES,112.0,0.0,59,0
4,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,28,0
5,EPX,Travel Agency,Online,Cancellation Plan,2,SINGAPORE,10.0,0.0,36,0
6,EPX,Travel Agency,Online,1 way Comprehensive Plan,25,"KOREA, REPUBLIC OF",50.0,0.0,36,0
7,EPX,Travel Agency,Online,Cancellation Plan,90,SINGAPORE,78.0,0.0,22,0
8,JZI,Airlines,Online,Basic Plan,4,THAILAND,22.0,7.7,39,0
9,EPX,Travel Agency,Online,Cancellation Plan,24,GERMANY,80.0,0.0,36,0
10,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,JAPAN,40.0,0.0,28,0
11,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,27,0
12,JZI,Airlines,Online,Basic Plan,103,"KOREA, REPUBLIC OF",26.0,9.1,48,0
13,C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,43,1
14,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,43,0
15,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,INDONESIA,47.0,0.0,36,0
16,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,JAPAN,25.0,0.0,27,0
17,EPX,Travel Agency,Online,Cancellation Plan,27,SINGAPORE,10.0,0.0,51,0
18,EPX,Travel Agency,Online,1 way Comprehensive Plan,34,THAILAND,23.0,0.0,36,0
19,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,65,0
20,EPX,Travel Agency,Online,Cancellation Plan,14,MALAYSIA,10.0,0.0,47,0
21,JZI,Airlines,Online,Basic Plan,12,VIET NAM,30.0,10.5,35,1
22,EPX,Travel Agency,Online,Cancellation Plan,31,UNITED STATES,80.0,0.0,54,0
23,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,AUSTRALIA,42.0,0.0,36,0
24,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10.0,0.0,23,0
25,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,THAILAND,56.0,0.0,46,0
26,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,UNITED STATES,19.8,11.88,33,0
27,EPX,Travel Agency,Online,Cancellation Plan,29,INDIA,14.0,0.0,36,0
28,C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,58,1
29,JZI,Airlines,Online,Basic Plan,8,THAILAND,30.0,10.5,42,0
30,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,FINLAND,29.7,17.82,31,0
31,EPX,Travel Agency,Online,Cancellation Plan,19,UNITED KINGDOM,10.0,0.0,36,0
32,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,9,SRI LANKA,36.0,23.4,29,0
33,C2B,Airlines,Online,Silver Plan,2,SINGAPORE,30.0,7.5,37,0
34,EPX,Travel Agency,Online,Cancellation Plan,24,THAILAND,31.0,0.0,36,0
35,EPX,Travel Agency,Online,Cancellation Plan,38,AUSTRALIA,58.0,0.0,36,0
36,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,SPAIN,9.9,5.94,26,0
37,EPX,Travel Agency,Online,Cancellation Plan,4,SINGAPORE,15.0,0.0,68,0
38,EPX,Travel Agency,Online,Cancellation Plan,42,HONG KONG,21.0,0.0,36,0
39,EPX,Travel Agency,Online,Cancellation Plan,11,MALAYSIA,29.0,0.0,36,0
40,EPX,Travel Agency,Online,2 way Comprehensive Plan,2,MACAO,32.0,0.0,35,0
41,JZI,Airlines,Online,Value Plan,30,UNITED KINGDOM,125.0,43.75,43,0
42,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,48.0,0.0,36,0
43,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,29.7,17.82,27,0
44,EPX,Travel Agency,Online,Cancellation Plan,34,SRI LANKA,20.0,0.0,36,0
45,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,UNITED ARAB EMIRATES,0.0,23.76,27,0
46,ART,Airlines,Online,24 Protect,3,Other,21.04,7.36,48,0
47,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,36,0
48,JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,29,0
49,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,INDONESIA,23.0,0.0,39,0
50,LWC,Travel Agency,Online,Annual Travel Protect Gold,370,CHINA,204.6,132.99,39,1
51,CSR,Travel Agency,Offline,Comprehensive Plan,43,MALAYSIA,29.0,9.57,8,0
52,EPX,Travel Agency,Online,Cancellation Plan,25,Other,34.0,0.0,36,0
53,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,37,0
54,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,30.55,7.64,22,0
55,EPX,Travel Agency,Online,Cancellation Plan,30,INDIA,10.0,0.0,32,0
56,JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,27,0
57,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,AUSTRALIA,49.5,29.7,35,0
58,EPX,Travel Agency,Online,Cancellation Plan,83,CANADA,80.0,0.0,61,0
59,JZI,Airlines,Online,Basic Plan,9,INDONESIA,18.0,6.3,49,0
60,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,0.0,17.82,31,0
61,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,"KOREA, REPUBLIC OF",98.0,0.0,36,0
62,EPX,Travel Agency,Online,Cancellation Plan,18,VIET NAM,10.0,0.0,36,0
63,EPX,Travel Agency,Online,Cancellation Plan,100,UNITED STATES,0.0,0.0,37,0
64,EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,10.0,0.0,31,0
65,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Other,49.5,29.7,56,0
66,EPX,Travel Agency,Online,2 way Comprehensive Plan,26,CHINA,36.0,0.0,36,0
67,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,36,0
68,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,PHILIPPINES,77.0,0.0,36,0
69,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,HONG KONG,20.0,0.0,36,0
70,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,SINGAPORE,20.0,0.0,36,0
71,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,GREECE,29.7,17.82,43,0
72,EPX,Travel Agency,Online,Cancellation Plan,35,UNITED STATES,10.0,0.0,29,0
73,EPX,Travel Agency,Online,Cancellation Plan,36,"TAIWAN, PROVINCE OF CHINA",47.0,0.0,36,0
74,EPX,Travel Agency,Online,2 way Comprehensive Plan,75,UNITED KINGDOM,78.0,0.0,36,0
75,C2B,Airlines,Online,Silver Plan,23,SINGAPORE,0.0,5.63,25,0
76,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,UNITED KINGDOM,69.3,41.58,50,0
77,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,AUSTRALIA,69.3,41.58,34,0
78,EPX,Travel Agency,Online,Cancellation Plan,73,Other,0.0,0.0,36,0
79,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,69.3,41.58,28,0
80,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,INDONESIA,20.0,0.0,29,0
81,EPX,Travel Agency,Online,Cancellation Plan,232,TURKEY,80.0,0.0,36,0
82,JZI,Airlines,Online,Basic Plan,42,"KOREA, REPUBLIC OF",35.0,12.25,43,0
83,EPX,Travel Agency,Online,Cancellation Plan,37,"KOREA, REPUBLIC OF",33.0,0.0,29,0
84,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,21.0,5.25,22,0
85,EPX,Travel Agency,Online,Cancellation Plan,35,INDIA,10.0,0.0,36,0
86,EPX,Travel Agency,Online,Cancellation Plan,7,SINGAPORE,64.0,0.0,35,0
88,EPX,Travel Agency,Online,1 way Comprehensive Plan,15,SINGAPORE,20.0,0.0,36,0
89,RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,38,0
90,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,CHINA,26.0,0.0,36,0
91,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,DENMARK,227.7,136.62,50,0
92,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,35,0
93,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,26,UNITED KINGDOM,48.5,31.53,23,0
95,JZI,Airlines,Online,Basic Plan,173,INDONESIA,33.0,11.55,44,0
96,EPX,Travel Agency,Online,Cancellation Plan,74,SINGAPORE,40.0,0.0,36,0
97,JZI,Airlines,Online,Basic Plan,23,VIET NAM,22.0,7.7,57,0
98,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,INDONESIA,24.0,0.0,35,0
100,C2B,Airlines,Online,Bronze Plan,82,SINGAPORE,161.0,40.25,50,0
101,CWT,Travel Agency,Offline,Rental Vehicle Excess Insurance,66,SWITZERLAND,99.0,59.4,57,0
102,EPX,Travel Agency,Online,2 way Comprehensive Plan,156,JAPAN,26.0,0.0,36,1
103,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,59.4,35.64,29,0
104,JZI,Airlines,Online,Value Plan,10,CHINA,45.0,15.75,45,0
106,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,SINGAPORE,44.0,0.0,36,0
107,EPX,Travel Agency,Online,Cancellation Plan,73,THAILAND,33.0,0.0,53,0
108,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,CHINA,30.0,0.0,36,0
109,EPX,Travel Agency,Online,Cancellation Plan,8,CHINA,19.0,0.0,36,0
110,EPX,Travel Agency,Online,1 way Comprehensive Plan,39,PHILIPPINES,20.0,0.0,20,0
111,KML,Travel Agency,Online,Value Plan,95,Other,75.0,28.5,48,0
112,EPX,Travel Agency,Online,Cancellation Plan,98,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36,0
113,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,31,0
114,EPX,Travel Agency,Online,Cancellation Plan,111,INDONESIA,22.0,0.0,36,0
115,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.55,4.39,30,0
117,EPX,Travel Agency,Online,Cancellation Plan,31,JAPAN,51.0,0.0,36,0
118,EPX,Travel Agency,Online,Cancellation Plan,13,CHINA,0.0,0.0,35,0
119,EPX,Travel Agency,Online,Cancellation Plan,13,MALAYSIA,10.0,0.0,47,0
120,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,53,INDONESIA,29.7,17.82,54,0
122,C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,80.25,20.06,29,0
123,EPX,Travel Agency,Online,Cancellation Plan,18,THAILAND,63.0,0.0,36,0
124,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,VIET NAM,33.0,0.0,36,0
125,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,95,NETHERLANDS,0.0,5.94,31,0
126,EPX,Travel Agency,Online,Cancellation Plan,37,PHILIPPINES,12.0,0.0,35,0
127,EPX,Travel Agency,Online,Cancellation Plan,87,UNITED STATES,64.0,0.0,20,0
128,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,112.0,0.0,36,0
129,EPX,Travel Agency,Online,Cancellation Plan,70,HONG KONG,10.0,0.0,20,0
130,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,INDIA,30.0,0.0,36,0
131,EPX,Travel Agency,Online,2 way Comprehensive Plan,151,UNITED STATES,112.0,0.0,69,0
132,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,34,0
133,EPX,Travel Agency,Online,Cancellation Plan,45,JAPAN,53.0,0.0,36,0
134,EPX,Travel Agency,Online,Cancellation Plan,20,JAPAN,38.0,0.0,35,0
135,EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,15.0,0.0,36,0
136,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.0,4.25,52,1
137,EPX,Travel Agency,Online,1 way Comprehensive Plan,37,SINGAPORE,24.0,0.0,36,0
138,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,MALAYSIA,59.4,35.64,53,0
139,EPX,Travel Agency,Online,2 way Comprehensive Plan,54,INDIA,54.0,0.0,36,0
140,EPX,Travel Agency,Online,Cancellation Plan,23,SINGAPORE,37.0,0.0,36,0
141,EPX,Travel Agency,Online,Cancellation Plan,10,"TAIWAN, PROVINCE OF CHINA",36.0,0.0,36,0
142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,25,1
143,EPX,Travel Agency,Online,1 way Comprehensive Plan,31,THAILAND,33.0,0.0,36,0
144,EPX,Travel Agency,Online,Cancellation Plan,38,INDONESIA,69.0,0.0,36,0
145,RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,28,0
146,JZI,Airlines,Online,Basic Plan,38,THAILAND,30.0,10.5,46,0
147,EPX,Travel Agency,Online,Cancellation Plan,114,Other,115.0,0.0,36,0
148,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,76.3,19.07,35,1
149,EPX,Travel Agency,Online,2 way Comprehensive Plan,118,MYANMAR,20.0,0.0,30,0
150,EPX,Travel Agency,Online,1 way Comprehensive Plan,62,Other,26.0,0.0,36,0
151,C2B,Airlines,Online,Silver Plan,3,SINGAPORE,19.5,4.88,27,0
152,EPX,Travel Agency,Online,Cancellation Plan,2,CHINA,19.0,0.0,36,0
153,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,27,0
154,C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,62.0,15.5,23,1
155,JZI,Airlines,Online,Basic Plan,19,CHINA,26.0,9.1,40,0
156,RAB,Airlines,Online,Value Plan,2,MALAYSIA,15.0,6.0,58,0
157,JZI,Airlines,Online,Basic Plan,28,MALAYSIA,30.0,10.5,33,0
158,EPX,Travel Agency,Online,Cancellation Plan,14,MYANMAR,11.0,0.0,36,0
159,SSI,Airlines,Online,Ticket Protector,36,SINGAPORE,3.73,1.05,48,0
160,EPX,Travel Agency,Online,2 way Comprehensive Plan,42,CHINA,26.0,0.0,36,0
161,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,INDONESIA,21.0,0.0,36,0
162,EPX,Travel Agency,Online,Cancellation Plan,12,SINGAPORE,80.0,0.0,36,0
163,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,MALAYSIA,19.8,11.88,45,0
164,EPX,Travel Agency,Online,Cancellation Plan,20,VIET NAM,11.0,0.0,36,0
